net_type,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
embedding,tanh,23,0.2073170731707317,17,0.1829268292682926,15,0.3902439024390244,32,0.2195121951219512,18
embedding,tanh,24,0.2608695652173913,18,0.144927536231884,10,0.3478260869565217,24,0.2463768115942029,17
embedding,tanh,25,0.1847826086956521,17,0.217391304347826,20,0.4130434782608695,38,0.1847826086956521,17
ER,linear,1,0.1818181818181818,4,0.0454545454545454,1,0.4090909090909091,9,0.3636363636363636,8
ER,linear,2,0.45,9,0.0,0,0.55,11,0.0,0
ER,linear,3,0.36,9,0.0,0,0.64,16,0.0,0
ER,linear,4,0.3928571428571428,11,0.0,0,0.6071428571428571,17,0.0,0
embedding,linear,1,0.25,9,0.0,0,0.75,27,0.0,0
embedding,linear,2,0.2368421052631578,9,0.1052631578947368,4,0.4736842105263157,18,0.1842105263157894,7
embedding,linear,3,0.3170731707317073,13,0.0,0,0.6829268292682927,28,0.0,0
embedding,linear,4,0.5,22,0.0,0,0.5,22,0.0,0
embedding,linear,5,0.234375,15,0.0,0,0.765625,49,0.0,0
embedding,linear,6,0.4835164835164835,44,0.0,0,0.5164835164835165,47,0.0,0
embedding,linear,7,0.2982456140350877,34,0.2807017543859649,32,0.4210526315789473,48,0.0,0
embedding,linear,8,0.3140495867768595,38,0.0,0,0.6859504132231405,83,0.0,0
embedding,linear,9,0.3692307692307692,48,0.1923076923076923,25,0.4307692307692308,56,0.0076923076923076,1
embedding,linear,10,0.3926380368098159,64,0.0,0,0.6073619631901841,99,0.0,0
embedding,linear,11,0.3557692307692308,37,0.048076923076923,5,0.5961538461538461,62,0.0,0
embedding,linear,12,0.2845528455284553,35,0.1626016260162601,20,0.5528455284552846,68,0.0,0
embedding,linear,13,0.3631578947368421,69,0.2157894736842105,41,0.4210526315789473,80,0.0,0
embedding,linear,14,0.2674418604651162,46,0.191860465116279,33,0.5406976744186046,93,0.0,0
embedding,linear,15,0.2909090909090909,32,0.209090909090909,23,0.4727272727272727,52,0.0272727272727272,3
embedding,linear,16,0.2651515151515151,35,0.1666666666666666,22,0.5378787878787878,71,0.0303030303030303,4
embedding,linear,17,0.2142857142857142,24,0.1696428571428571,19,0.4553571428571428,51,0.1607142857142857,18
embedding,linear,18,0.2959183673469387,29,0.1632653061224489,16,0.4489795918367347,44,0.0918367346938775,9
embedding,linear,19,0.2261904761904762,19,0.1666666666666666,14,0.4166666666666667,35,0.1904761904761904,16
embedding,linear,20,0.2054794520547945,15,0.1917808219178082,14,0.3835616438356164,28,0.2191780821917808,16
embedding,linear,21,0.1764705882352941,12,0.1323529411764706,9,0.3676470588235294,25,0.3235294117647059,22
embedding,linear,22,0.2586206896551724,15,0.1206896551724138,7,0.396551724137931,23,0.2241379310344827,13
embedding,linear,23,0.2857142857142857,26,0.1758241758241758,16,0.3626373626373626,33,0.1758241758241758,16
embedding,linear,24,0.2025316455696202,16,0.1518987341772152,12,0.3924050632911392,31,0.2531645569620253,20
embedding,linear,25,0.2317073170731707,19,0.2073170731707317,17,0.3536585365853658,29,0.2073170731707317,17
embedding,tanh,1,0.2560975609756097,21,0.0975609756097561,8,0.6219512195121951,51,0.024390243902439,2
embedding,tanh,2,0.3495145631067961,36,0.0,0,0.6407766990291263,66,0.0097087378640776,1
embedding,tanh,3,0.2525252525252525,25,0.0101010101010101,1,0.7373737373737373,73,0.0,0
embedding,tanh,4,0.2719298245614035,31,0.0175438596491228,2,0.7105263157894737,81,0.0,0
embedding,tanh,5,0.3114754098360656,38,0.0163934426229508,2,0.6721311475409836,82,0.0,0
embedding,tanh,6,0.3670886075949367,58,0.0126582278481012,2,0.6075949367088608,96,0.0126582278481012,2
embedding,tanh,7,0.4682926829268293,96,0.0,0,0.5317073170731708,109,0.0,0
embedding,tanh,8,0.4027777777777778,87,0.0046296296296296,1,0.5925925925925926,128,0.0,0
embedding,tanh,9,0.4131147540983607,126,0.0,0,0.5868852459016394,179,0.0,0
embedding,tanh,10,0.4125,99,0.0,0,0.5875,141,0.0,0
embedding,tanh,11,0.3716814159292035,84,0.1061946902654867,24,0.5221238938053098,118,0.0,0
embedding,tanh,12,0.405511811023622,103,0.0354330708661417,9,0.5590551181102362,142,0.0,0
embedding,tanh,13,0.3259911894273127,74,0.0748898678414096,17,0.5991189427312775,136,0.0,0
embedding,tanh,14,0.4044117647058823,110,0.0735294117647058,20,0.5220588235294118,142,0.0,0
embedding,tanh,15,0.1933701657458563,35,0.1767955801104972,32,0.430939226519337,78,0.1988950276243093,36
embedding,tanh,16,0.2238805970149253,15,0.1044776119402985,7,0.4477611940298507,30,0.2238805970149253,15
embedding,tanh,17,0.2547169811320754,27,0.0660377358490566,7,0.3867924528301887,41,0.2924528301886792,31
embedding,tanh,18,0.1956521739130435,18,0.1413043478260869,13,0.4239130434782608,39,0.2391304347826087,22
embedding,tanh,19,0.208955223880597,14,0.1492537313432835,10,0.417910447761194,28,0.2238805970149253,15
embedding,tanh,20,0.271523178807947,41,0.152317880794702,23,0.3443708609271523,52,0.2317880794701986,35
embedding,tanh,21,0.21,21,0.2,20,0.34,34,0.25,25
embedding,tanh,22,0.2087912087912088,19,0.2417582417582417,22,0.3296703296703296,30,0.2197802197802197,20
embedding,tanh,23,0.2151898734177215,17,0.1518987341772152,12,0.430379746835443,34,0.2025316455696202,16
embedding,tanh,24,0.193103448275862,28,0.2275862068965517,33,0.3310344827586207,48,0.2482758620689655,36
embedding,tanh,25,0.2336448598130841,25,0.1121495327102803,12,0.4299065420560747,46,0.2242990654205607,24
ER,linear,1,0.4,10,0.0,0,0.6,15,0.0,0
ER,linear,2,0.4545454545454545,10,0.0,0,0.5454545454545454,12,0.0,0
ER,linear,3,0.1923076923076923,5,0.1153846153846153,3,0.5384615384615384,14,0.1538461538461538,4
ER,linear,4,0.25,7,0.0,0,0.75,21,0.0,0
ER,linear,5,0.21875,7,0.0,0,0.78125,25,0.0,0
ER,linear,6,0.2307692307692307,12,0.0,0,0.7692307692307693,40,0.0,0
ER,linear,7,0.1833333333333333,11,0.0,0,0.8166666666666667,49,0.0,0
ER,linear,8,0.1463414634146341,6,0.0,0,0.8292682926829268,34,0.024390243902439,1
ER,linear,9,0.2678571428571428,15,0.0,0,0.7321428571428571,41,0.0,0
ER,linear,10,0.3846153846153846,30,0.0769230769230769,6,0.5256410256410257,41,0.0128205128205128,1
ER,linear,11,0.1702127659574468,8,0.0,0,0.6808510638297872,32,0.1489361702127659,7
ER,linear,12,0.2619047619047619,11,0.1428571428571428,6,0.4761904761904761,20,0.119047619047619,5
ER,linear,13,0.2432432432432432,9,0.1621621621621621,6,0.4324324324324324,16,0.1621621621621621,6
ER,linear,14,0.3142857142857143,11,0.0285714285714285,1,0.4571428571428571,16,0.2,7
ER,linear,15,0.2954545454545454,13,0.0227272727272727,1,0.4090909090909091,18,0.2727272727272727,12
ER,linear,16,0.2093023255813953,9,0.0232558139534883,1,0.4883720930232558,21,0.2790697674418604,12
ER,linear,17,0.2941176470588235,10,0.1470588235294117,5,0.4411764705882353,15,0.1176470588235294,4
ER,linear,18,0.2222222222222222,8,0.1111111111111111,4,0.4722222222222222,17,0.1944444444444444,7
ER,linear,19,0.1739130434782608,8,0.0434782608695652,2,0.4565217391304347,21,0.3260869565217391,15
ER,linear,20,0.3111111111111111,14,0.2222222222222222,10,0.4,18,0.0666666666666666,3
ER,linear,21,0.2291666666666666,11,0.2708333333333333,13,0.4166666666666667,20,0.0833333333333333,4
