net_type,system,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
lorenz,rossler,tanh,77,0.0580645161290322,9,0.1161290322580645,18,0.3419354838709677,53,0.4838709677419355,75
lorenz,rossler,tanh,81,0.0555555555555555,9,0.1172839506172839,19,0.345679012345679,56,0.4814814814814814,78
lorenz,rossler,tanh,85,0.0657894736842105,10,0.1118421052631579,17,0.3157894736842105,48,0.506578947368421,77
lorenz,rossler,tanh,89,0.0545454545454545,9,0.109090909090909,18,0.3636363636363636,60,0.4727272727272727,78
lorenz,rossler,tanh,93,0.062111801242236,10,0.1118012422360248,18,0.3788819875776397,61,0.4472049689440994,72
lorenz,rossler,tanh,97,0.0432098765432098,7,0.1111111111111111,18,0.3580246913580246,58,0.4876543209876543,79
lorenz,rossler,linear,1,0.1111111111111111,4,0.2222222222222222,8,0.1944444444444444,7,0.4722222222222222,17
lorenz,rossler,linear,5,0.1382978723404255,13,0.0531914893617021,5,0.4787234042553192,45,0.3297872340425531,31
lorenz,rossler,linear,9,0.0470588235294117,4,0.1529411764705882,13,0.4235294117647059,36,0.3764705882352941,32
lorenz,rossler,linear,13,0.0862068965517241,5,0.1896551724137931,11,0.2413793103448276,14,0.4827586206896552,28
lorenz,rossler,linear,17,0.0560747663551401,6,0.1308411214953271,14,0.3271028037383177,35,0.4859813084112149,52
lorenz,rossler,linear,21,0.0967741935483871,6,0.1451612903225806,9,0.3709677419354839,23,0.3870967741935484,24
lorenz,rossler,linear,25,0.1851851851851851,5,0.2222222222222222,6,0.2592592592592592,7,0.3333333333333333,9
lorenz,rossler,linear,29,0.125,3,0.2083333333333333,5,0.2916666666666667,7,0.375,9
lorenz,rossler,linear,33,0.1379310344827586,4,0.1724137931034483,5,0.3103448275862069,9,0.3793103448275862,11
lorenz,rossler,linear,37,0.1395348837209302,6,0.1627906976744186,7,0.2325581395348837,10,0.4651162790697674,20
lorenz,rossler,linear,41,0.1666666666666666,6,0.1666666666666666,6,0.2777777777777778,10,0.3888888888888889,14
lorenz,rossler,linear,45,0.1612903225806451,5,0.1290322580645161,4,0.2580645161290322,8,0.4516129032258064,14
lorenz,rossler,linear,49,0.1333333333333333,4,0.2,6,0.3333333333333333,10,0.3333333333333333,10
lorenz,rossler,linear,53,0.1290322580645161,4,0.1935483870967742,6,0.2903225806451613,9,0.3870967741935484,12
lorenz,rossler,linear,57,0.1764705882352941,6,0.2058823529411764,7,0.2352941176470588,8,0.3823529411764705,13
lorenz,rossler,linear,61,0.0714285714285714,3,0.238095238095238,10,0.3333333333333333,14,0.3571428571428571,15
lorenz,rossler,linear,65,0.0588235294117647,3,0.1568627450980392,8,0.3137254901960784,16,0.4705882352941176,24
lorenz,rossler,linear,69,0.1666666666666666,5,0.2333333333333333,7,0.2333333333333333,7,0.3666666666666666,11
lorenz,rossler,linear,73,0.1034482758620689,3,0.2068965517241379,6,0.3448275862068966,10,0.3448275862068966,10
lorenz,rossler,linear,77,0.1515151515151515,5,0.1818181818181818,6,0.303030303030303,10,0.3636363636363636,12
lorenz,rossler,linear,81,0.109090909090909,6,0.2,11,0.2909090909090909,16,0.4,22
lorenz,rossler,linear,85,0.1166666666666666,7,0.1833333333333333,11,0.3333333333333333,20,0.3666666666666666,22
